,config,time,commit
0,--gvn ,3.4318000000000004,llvmorg-12.0.1-rc4
1,--instcombine ,4.0164,llvmorg-12.0.1-rc4
2,--inline ,0.8690999999999999,llvmorg-12.0.1-rc4
3,--jump-threading ,1.1627,llvmorg-12.0.1-rc4
4,--simplifycfg ,1.0449000000000002,llvmorg-12.0.1-rc4
5,--sccp ,1.1513000000000004,llvmorg-12.0.1-rc4
6,--ipsccp ,1.3046,llvmorg-12.0.1-rc4
7,--licm ,1.6447000000000005,llvmorg-12.0.1-rc4
8,--iv-users ,1.8166000000000004,llvmorg-12.0.1-rc4
9,--gvn --instcombine ,5.2483,llvmorg-12.0.1-rc4
10,--gvn --inline ,3.3894000000000006,llvmorg-12.0.1-rc4
11,--gvn --jump-threading ,3.5439000000000007,llvmorg-12.0.1-rc4
12,--gvn --simplifycfg ,3.429700000000001,llvmorg-12.0.1-rc4
13,--gvn --sccp ,3.5668000000000006,llvmorg-12.0.1-rc4
14,--gvn --ipsccp ,3.6121000000000003,llvmorg-12.0.1-rc4
15,--gvn --licm ,3.8448000000000007,llvmorg-12.0.1-rc4
16,--gvn --iv-users ,4.081100000000002,llvmorg-12.0.1-rc4
17,--instcombine --inline ,3.9777000000000005,llvmorg-12.0.1-rc4
18,--instcombine --jump-threading ,4.073499999999999,llvmorg-12.0.1-rc4
19,--instcombine --simplifycfg ,4.081900000000001,llvmorg-12.0.1-rc4
20,--instcombine --sccp ,4.1524,llvmorg-12.0.1-rc4
21,--instcombine --ipsccp ,4.256099999999999,llvmorg-12.0.1-rc4
22,--instcombine --licm ,4.4847,llvmorg-12.0.1-rc4
23,--instcombine --iv-users ,4.890000000000001,llvmorg-12.0.1-rc4
24,--inline --jump-threading ,1.1551,llvmorg-12.0.1-rc4
25,--inline --simplifycfg ,1.1094000000000002,llvmorg-12.0.1-rc4
26,--inline --sccp ,1.2635999999999998,llvmorg-12.0.1-rc4
27,--inline --ipsccp ,1.2715999999999998,llvmorg-12.0.1-rc4
28,--inline --licm ,1.6760000000000002,llvmorg-12.0.1-rc4
29,--inline --iv-users ,1.8097000000000008,llvmorg-12.0.1-rc4
30,--jump-threading --simplifycfg ,1.1842999999999997,llvmorg-12.0.1-rc4
31,--jump-threading --sccp ,1.3764,llvmorg-12.0.1-rc4
32,--jump-threading --ipsccp ,1.3733999999999993,llvmorg-12.0.1-rc4
33,--jump-threading --licm ,1.7124000000000004,llvmorg-12.0.1-rc4
34,--jump-threading --iv-users ,1.8662000000000007,llvmorg-12.0.1-rc4
