,config,time
0,--jump-threading ,7.468407869338989
1,--inline ,2.0606298446655273
2,--dce ,1.7418975830078125
3,--loop-vectorize ,2.724980115890503
4,--globalopt ,1.5767278671264648
5,--float2int ,1.5076000690460205
6,--aa ,1.492478609085083
7,--objc-arc ,1.6468193531036377
8,--jump-threading --inline ,1.9240927696228027
9,--jump-threading --dce ,1.723921775817871
10,--jump-threading --loop-vectorize ,2.4997408390045166
11,--jump-threading --globalopt ,1.6499860286712646
12,--jump-threading --float2int ,1.7062699794769287
13,--jump-threading --aa ,1.782374620437622
14,--jump-threading --objc-arc ,1.6821253299713135
15,--inline --dce ,1.5977745056152344
16,--inline --loop-vectorize ,2.1534781455993652
17,--inline --globalopt ,1.5985963344573975
18,--inline --float2int ,1.554244041442871
19,--inline --aa ,1.5419657230377197
20,--inline --objc-arc ,1.5287063121795654
21,--dce --loop-vectorize ,2.1069953441619873
22,--dce --globalopt ,1.5254709720611572
23,--dce --float2int ,1.5310237407684326
24,--dce --aa ,1.5606575012207031
25,--dce --objc-arc ,1.589324951171875
26,--loop-vectorize --globalopt ,2.076503038406372
27,--loop-vectorize --float2int ,2.110138416290283
28,--loop-vectorize --aa ,2.0910792350769043
29,--loop-vectorize --objc-arc ,2.108388900756836
30,--globalopt --float2int ,1.5409646034240723
31,--globalopt --aa ,1.5592286586761475
32,--globalopt --objc-arc ,1.559422254562378
33,--float2int --aa ,1.5076117515563965
34,--float2int --objc-arc ,1.5031445026397705
35,--aa --objc-arc ,1.4783215522766113
36,--jump-threading --inline --dce ,1.7090179920196533
37,--jump-threading --inline --loop-vectorize ,2.207524299621582
38,--jump-threading --inline --globalopt ,1.6817469596862793
39,--jump-threading --inline --float2int ,1.7206804752349854
40,--jump-threading --inline --aa ,1.7052409648895264
41,--jump-threading --inline --objc-arc ,1.7721388339996338
42,--jump-threading --dce --loop-vectorize ,2.2352404594421387
43,--jump-threading --dce --globalopt ,1.6860921382904053
44,--jump-threading --dce --float2int ,1.7221081256866455
45,--jump-threading --dce --aa ,1.707737684249878
46,--jump-threading --dce --objc-arc ,1.7486340999603271
47,--jump-threading --loop-vectorize --globalopt ,2.2007975578308105
48,--jump-threading --loop-vectorize --float2int ,2.197136640548706
49,--jump-threading --loop-vectorize --aa ,2.1902194023132324
50,--jump-threading --loop-vectorize --objc-arc ,2.1794278621673584
51,--jump-threading --globalopt --float2int ,1.6656224727630615
52,--jump-threading --globalopt --aa ,1.669377088546753
53,--jump-threading --globalopt --objc-arc ,1.6869964599609375
54,--jump-threading --float2int --aa ,1.6892530918121338
55,--jump-threading --float2int --objc-arc ,1.6868882179260254
56,--jump-threading --aa --objc-arc ,1.7010538578033447
57,--inline --dce --loop-vectorize ,2.1627135276794434
58,--inline --dce --globalopt ,1.6340415477752686
59,--inline --dce --float2int ,1.6074106693267822
