,commit,time,command,running_time
0,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 1,734.95
1,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 2,427.58
2,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 3,379.14
3,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 4,347.72
4,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 1,710.92
5,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 2,419.15
6,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 3,378.04
7,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 4,333.83
8,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 1,709.85
9,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 2,414.82
10,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 3,384.21
11,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 4,349.37
12,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 1,757.18
13,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 2,407.8
14,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 3,377.27
15,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 4,330.95
16,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 1,693.74
17,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 2,390.13
18,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 3,360.62
19,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 4,332.14
20,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 1,796.01
21,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 2,448.27
22,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 3,388.82
23,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 4,351.63
24,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 1,797.34
25,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 2,443.08
26,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 3,380.94
27,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 4,351.64
28,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 1,796.81
29,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 2,447.37
30,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 3,385.47
31,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 4,351.29
32,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 1,797.31
33,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 2,448.79
34,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 3,377.04
35,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 4,349.93
36,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N 12 -p 1,807.66
37,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N 12 -p 2,440.29
38,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N 12 -p 3,377.03
39,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 21 -N 12 -p 4,358.51
40,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N -20 -p 1,796.41
41,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N -20 -p 2,448.45
42,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N -20 -p 3,379.75
43,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N -20 -p 4,352.3
44,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N -12 -p 1,797.0
45,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N -12 -p 2,452.15
46,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N -12 -p 3,375.25
47,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N -12 -p 4,354.75
48,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N -4 -p 1,796.78
49,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N -4 -p 2,447.0
50,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N -4 -p 3,378.63
51,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N -4 -p 4,351.65
52,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N 4 -p 1,799.54
53,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N 4 -p 2,437.28
54,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N 4 -p 3,378.54
55,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N 4 -p 4,352.99
56,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N 12 -p 1,795.37
57,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N 12 -p 2,447.89
58,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N 12 -p 3,375.89
59,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 41 -N 12 -p 4,359.59
60,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N -20 -p 1,797.06
61,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N -20 -p 2,452.97
62,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N -20 -p 3,398.68
63,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N -20 -p 4,349.74
64,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N -12 -p 1,797.36
65,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N -12 -p 2,446.25
66,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N -12 -p 3,384.48
67,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N -12 -p 4,359.18
68,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N -4 -p 1,799.53
69,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N -4 -p 2,449.8
70,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N -4 -p 3,382.95
71,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N -4 -p 4,355.62
72,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N 4 -p 1,796.09
73,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N 4 -p 2,447.32
74,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N 4 -p 3,382.61
75,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N 4 -p 4,352.71
76,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N 12 -p 1,795.46
77,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N 12 -p 2,447.07
78,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N 12 -p 3,394.17
79,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 61 -N 12 -p 4,360.15
80,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -20 -p 1,796.41
81,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -20 -p 2,449.18
82,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -20 -p 3,372.85
83,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -20 -p 4,348.69
84,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -12 -p 1,797.65
85,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -12 -p 2,449.93
86,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -12 -p 3,381.65
87,3345a239b7f5353a1c1296d6a5d6b90729d4b669,0,sudo lrzip -z -L 8 -w 81 -N -12 -p 4,352.73
