,config,time
0,../x264/x264 --rc-lookahead 20 --ref 1 ,5.902574456500005
1,../x264/x264 --rc-lookahead 20 --ref 5 ,7.850195472000024
2,../x264/x264 --rc-lookahead 20 --ref 9 ,10.176257622999998
3,../x264/x264 --rc-lookahead 40 --ref 1 ,6.13735017099998
4,../x264/x264 --rc-lookahead 40 --ref 5 ,8.044157581999968
5,../x264/x264 --rc-lookahead 40 --ref 9 ,10.375497292999995
6,../x264/x264 --no-weightb --rc-lookahead 20 --ref 1 ,5.9217062594999845
7,../x264/x264 --no-weightb --rc-lookahead 20 --ref 5 ,7.874520393000012
8,../x264/x264 --no-weightb --rc-lookahead 20 --ref 9 ,10.188422168499983
9,../x264/x264 --no-weightb --rc-lookahead 40 --ref 1 ,6.115568935499994
10,../x264/x264 --no-weightb --rc-lookahead 40 --ref 5 ,8.049469498999997
11,../x264/x264 --no-weightb --rc-lookahead 40 --ref 9 ,10.397188050999944
12,../x264/x264 --no-mixed-refs --rc-lookahead 20 --ref 1 ,5.9332289015000015
13,../x264/x264 --no-mixed-refs --rc-lookahead 20 --ref 5 ,6.767380744999969
14,../x264/x264 --no-mixed-refs --rc-lookahead 20 --ref 9 ,8.21738971000002
15,../x264/x264 --no-mixed-refs --rc-lookahead 40 --ref 1 ,6.119480094499977
16,../x264/x264 --no-mixed-refs --rc-lookahead 40 --ref 5 ,6.986361955500001
17,../x264/x264 --no-mixed-refs --rc-lookahead 40 --ref 9 ,8.426075352999987
18,../x264/x264 --no-mixed-refs --no-weightb --rc-lookahead 20 --ref 1 ,5.912860909000017
19,../x264/x264 --no-mixed-refs --no-weightb --rc-lookahead 20 --ref 5 ,6.783716889999994
20,../x264/x264 --no-mixed-refs --no-weightb --rc-lookahead 20 --ref 9 ,8.212631500499981
21,../x264/x264 --no-mixed-refs --no-weightb --rc-lookahead 40 --ref 1 ,6.108118471000012
22,../x264/x264 --no-mixed-refs --no-weightb --rc-lookahead 40 --ref 5 ,6.927955483500057
23,../x264/x264 --no-mixed-refs --no-weightb --rc-lookahead 40 --ref 9 ,8.410692102999974
24,../x264/x264 --no-mbtree --rc-lookahead 20 --ref 1 ,6.337530864499968
25,../x264/x264 --no-mbtree --rc-lookahead 20 --ref 5 ,8.593548537999993
26,../x264/x264 --no-mbtree --rc-lookahead 20 --ref 9 ,11.193250542499982
27,../x264/x264 --no-mbtree --rc-lookahead 40 --ref 1 ,6.3421440830001075
28,../x264/x264 --no-mbtree --rc-lookahead 40 --ref 5 ,8.580133799999999
29,../x264/x264 --no-mbtree --rc-lookahead 40 --ref 9 ,11.210914122499958
30,../x264/x264 --no-mbtree --no-weightb --rc-lookahead 20 --ref 1 ,6.370056641999895
31,../x264/x264 --no-mbtree --no-weightb --rc-lookahead 20 --ref 5 ,8.629352229000006
32,../x264/x264 --no-mbtree --no-weightb --rc-lookahead 20 --ref 9 ,11.248630527500154
33,../x264/x264 --no-mbtree --no-weightb --rc-lookahead 40 --ref 1 ,6.394456232500033
34,../x264/x264 --no-mbtree --no-weightb --rc-lookahead 40 --ref 5 ,8.6401832345
