,config,time,commit_num
0,sudo lrzip -z -L 8 -w 1 -N -20 -p 1,706.4,0
1,sudo lrzip -z -L 8 -w 1 -N -20 -p 2,407.83,0
2,sudo lrzip -z -L 8 -w 1 -N -20 -p 3,357.55,0
3,sudo lrzip -z -L 8 -w 1 -N -20 -p 4,332.94,0
4,sudo lrzip -z -L 8 -w 1 -N -12 -p 1,701.24,0
5,sudo lrzip -z -L 8 -w 1 -N -12 -p 2,406.24,0
6,sudo lrzip -z -L 8 -w 1 -N -12 -p 3,352.95,0
7,sudo lrzip -z -L 8 -w 1 -N -12 -p 4,326.03,0
8,sudo lrzip -z -L 8 -w 1 -N -4 -p 1,701.07,0
9,sudo lrzip -z -L 8 -w 1 -N -4 -p 2,397.69,0
10,sudo lrzip -z -L 8 -w 1 -N -4 -p 3,351.76,0
11,sudo lrzip -z -L 8 -w 1 -N -4 -p 4,328.11,0
12,sudo lrzip -z -L 8 -w 1 -N 4 -p 1,703.85,0
13,sudo lrzip -z -L 8 -w 1 -N 4 -p 2,400.4,0
14,sudo lrzip -z -L 8 -w 1 -N 4 -p 3,358.08,0
15,sudo lrzip -z -L 8 -w 1 -N 4 -p 4,330.28,0
16,sudo lrzip -z -L 8 -w 1 -N 12 -p 1,701.29,0
17,sudo lrzip -z -L 8 -w 1 -N 12 -p 2,394.9,0
18,sudo lrzip -z -L 8 -w 1 -N 12 -p 3,359.23,0
19,sudo lrzip -z -L 8 -w 1 -N 12 -p 4,327.63,0
20,sudo lrzip -z -L 8 -w 21 -N -20 -p 1,809.12,0
21,sudo lrzip -z -L 8 -w 21 -N -20 -p 2,449.58,0
22,sudo lrzip -z -L 8 -w 21 -N -20 -p 3,381.22,0
23,sudo lrzip -z -L 8 -w 21 -N -20 -p 4,359.73,0
24,sudo lrzip -z -L 8 -w 21 -N -12 -p 1,808.41,0
25,sudo lrzip -z -L 8 -w 21 -N -12 -p 2,448.95,0
26,sudo lrzip -z -L 8 -w 21 -N -12 -p 3,384.64,0
27,sudo lrzip -z -L 8 -w 21 -N -12 -p 4,360.63,0
28,sudo lrzip -z -L 8 -w 21 -N -4 -p 1,810.1,0
29,sudo lrzip -z -L 8 -w 21 -N -4 -p 2,448.31,0
30,sudo lrzip -z -L 8 -w 21 -N -4 -p 3,380.94,0
31,sudo lrzip -z -L 8 -w 21 -N -4 -p 4,353.72,0
32,sudo lrzip -z -L 8 -w 21 -N 4 -p 1,808.49,0
33,sudo lrzip -z -L 8 -w 21 -N 4 -p 2,450.28,0
34,sudo lrzip -z -L 8 -w 21 -N 4 -p 3,380.35,0
35,sudo lrzip -z -L 8 -w 21 -N 4 -p 4,357.11,0
36,sudo lrzip -z -L 8 -w 21 -N 12 -p 1,805.43,0
37,sudo lrzip -z -L 8 -w 21 -N 12 -p 2,453.96,0
38,sudo lrzip -z -L 8 -w 21 -N 12 -p 3,381.8,0
39,sudo lrzip -z -L 8 -w 21 -N 12 -p 4,356.14,0
40,sudo lrzip -z -L 8 -w 41 -N -20 -p 1,805.98,0
41,sudo lrzip -z -L 8 -w 41 -N -20 -p 2,451.94,0
42,sudo lrzip -z -L 8 -w 41 -N -20 -p 3,377.18,0
43,sudo lrzip -z -L 8 -w 41 -N -20 -p 4,354.48,0
44,sudo lrzip -z -L 8 -w 41 -N -12 -p 1,808.4,0
45,sudo lrzip -z -L 8 -w 41 -N -12 -p 2,447.13,0
46,sudo lrzip -z -L 8 -w 41 -N -12 -p 3,376.64,0
47,sudo lrzip -z -L 8 -w 41 -N -12 -p 4,356.22,0
48,sudo lrzip -z -L 8 -w 41 -N -4 -p 1,807.63,0
49,sudo lrzip -z -L 8 -w 41 -N -4 -p 2,455.23,0
50,sudo lrzip -z -L 8 -w 41 -N -4 -p 3,389.51,0
51,sudo lrzip -z -L 8 -w 41 -N -4 -p 4,351.78,0
52,sudo lrzip -z -L 8 -w 41 -N 4 -p 1,805.26,0
53,sudo lrzip -z -L 8 -w 41 -N 4 -p 2,447.47,0
54,sudo lrzip -z -L 8 -w 41 -N 4 -p 3,381.82,0
55,sudo lrzip -z -L 8 -w 41 -N 4 -p 4,356.24,0
56,sudo lrzip -z -L 8 -w 41 -N 12 -p 1,805.61,0
57,sudo lrzip -z -L 8 -w 41 -N 12 -p 2,448.16,0
58,sudo lrzip -z -L 8 -w 41 -N 12 -p 3,373.54,0
59,sudo lrzip -z -L 8 -w 41 -N 12 -p 4,357.4,0
60,sudo lrzip -z -L 8 -w 61 -N -20 -p 1,807.29,0
61,sudo lrzip -z -L 8 -w 61 -N -20 -p 2,449.86,0
62,sudo lrzip -z -L 8 -w 61 -N -20 -p 3,380.62,0
63,sudo lrzip -z -L 8 -w 61 -N -20 -p 4,354.09,0
64,sudo lrzip -z -L 8 -w 61 -N -12 -p 1,807.25,0
65,sudo lrzip -z -L 8 -w 61 -N -12 -p 2,448.32,0
66,sudo lrzip -z -L 8 -w 61 -N -12 -p 3,389.27,0
67,sudo lrzip -z -L 8 -w 61 -N -12 -p 4,366.72,0
68,sudo lrzip -z -L 8 -w 61 -N -4 -p 1,806.93,0
69,sudo lrzip -z -L 8 -w 61 -N -4 -p 2,448.76,0
70,sudo lrzip -z -L 8 -w 61 -N -4 -p 3,385.61,0
71,sudo lrzip -z -L 8 -w 61 -N -4 -p 4,355.35,0
72,sudo lrzip -z -L 8 -w 61 -N 4 -p 1,805.95,0
73,sudo lrzip -z -L 8 -w 61 -N 4 -p 2,449.94,0
74,sudo lrzip -z -L 8 -w 61 -N 4 -p 3,381.96,0
75,sudo lrzip -z -L 8 -w 61 -N 4 -p 4,355.57,0
76,sudo lrzip -z -L 8 -w 61 -N 12 -p 1,804.38,0
77,sudo lrzip -z -L 8 -w 61 -N 12 -p 2,453.41,0
78,sudo lrzip -z -L 8 -w 61 -N 12 -p 3,375.93,0
79,sudo lrzip -z -L 8 -w 61 -N 12 -p 4,357.76,0
80,sudo lrzip -z -L 8 -w 81 -N -20 -p 1,804.97,0
81,sudo lrzip -z -L 8 -w 81 -N -20 -p 2,448.17,0
82,sudo lrzip -z -L 8 -w 81 -N -20 -p 3,380.06,0
83,sudo lrzip -z -L 8 -w 81 -N -20 -p 4,355.02,0
84,sudo lrzip -z -L 8 -w 81 -N -12 -p 1,808.79,0
85,sudo lrzip -z -L 8 -w 81 -N -12 -p 2,453.73,0
86,sudo lrzip -z -L 8 -w 81 -N -12 -p 3,373.12,0
87,sudo lrzip -z -L 8 -w 81 -N -12 -p 4,355.77,0
88,sudo lrzip -z -L 8 -w 81 -N -4 -p 1,806.39,0
89,sudo lrzip -z -L 8 -w 81 -N -4 -p 2,447.16,0
90,sudo lrzip -z -L 8 -w 81 -N -4 -p 3,375.82,0
91,sudo lrzip -z -L 8 -w 81 -N -4 -p 4,353.02,0
92,sudo lrzip -z -L 8 -w 81 -N 4 -p 1,805.38,0
93,sudo lrzip -z -L 8 -w 81 -N 4 -p 2,451.68,0
94,sudo lrzip -z -L 8 -w 81 -N 4 -p 3,377.77,0
95,sudo lrzip -z -L 8 -w 81 -N 4 -p 4,356.45,0
96,sudo lrzip -z -L 8 -w 81 -N 12 -p 1,804.49,0
97,sudo lrzip -z -L 8 -w 81 -N 12 -p 2,449.62,0
98,sudo lrzip -z -L 8 -w 81 -N 12 -p 3,381.83,0
99,sudo lrzip -z -L 8 -w 81 -N 12 -p 4,359.47,0
100,sudo lrzip -z -L 9 -w 1 -N -20 -p 1,700.81,0
101,sudo lrzip -z -L 9 -w 1 -N -20 -p 2,420.71,0
102,sudo lrzip -z -L 9 -w 1 -N -20 -p 3,357.41,0
103,sudo lrzip -z -L 9 -w 1 -N -20 -p 4,340.11,0
104,sudo lrzip -z -L 9 -w 1 -N -12 -p 1,697.15,0
105,sudo lrzip -z -L 9 -w 1 -N -12 -p 2,402.93,0
106,sudo lrzip -z -L 9 -w 1 -N -12 -p 3,358.99,0
107,sudo lrzip -z -L 9 -w 1 -N -12 -p 4,332.32,0
108,sudo lrzip -z -L 9 -w 1 -N -4 -p 1,698.72,0
109,sudo lrzip -z -L 9 -w 1 -N -4 -p 2,400.54,0
110,sudo lrzip -z -L 9 -w 1 -N -4 -p 3,360.63,0
111,sudo lrzip -z -L 9 -w 1 -N -4 -p 4,323.88,0
112,sudo lrzip -z -L 9 -w 1 -N 4 -p 1,701.66,0
113,sudo lrzip -z -L 9 -w 1 -N 4 -p 2,418.09,0
114,sudo lrzip -z -L 9 -w 1 -N 4 -p 3,366.8,0
115,sudo lrzip -z -L 9 -w 1 -N 4 -p 4,330.55,0
116,sudo lrzip -z -L 9 -w 1 -N 12 -p 1,701.11,0
117,sudo lrzip -z -L 9 -w 1 -N 12 -p 2,399.29,0
118,sudo lrzip -z -L 9 -w 1 -N 12 -p 3,355.96,0
119,sudo lrzip -z -L 9 -w 1 -N 12 -p 4,329.6,0
120,sudo lrzip -z -L 9 -w 21 -N -20 -p 1,810.18,0
121,sudo lrzip -z -L 9 -w 21 -N -20 -p 2,455.31,0
122,sudo lrzip -z -L 9 -w 21 -N -20 -p 3,383.08,0
123,sudo lrzip -z -L 9 -w 21 -N -20 -p 4,360.31,0
124,sudo lrzip -z -L 9 -w 21 -N -12 -p 1,810.73,0
125,sudo lrzip -z -L 9 -w 21 -N -12 -p 2,463.8,0
126,sudo lrzip -z -L 9 -w 21 -N -12 -p 3,381.81,0
127,sudo lrzip -z -L 9 -w 21 -N -12 -p 4,359.49,0
128,sudo lrzip -z -L 9 -w 21 -N -4 -p 1,809.12,0
129,sudo lrzip -z -L 9 -w 21 -N -4 -p 2,454.84,0
130,sudo lrzip -z -L 9 -w 21 -N -4 -p 3,375.67,0
131,sudo lrzip -z -L 9 -w 21 -N -4 -p 4,356.56,0
132,sudo lrzip -z -L 9 -w 21 -N 4 -p 1,809.55,0
133,sudo lrzip -z -L 9 -w 21 -N 4 -p 2,444.23,0
134,sudo lrzip -z -L 9 -w 21 -N 4 -p 3,379.0,0
135,sudo lrzip -z -L 9 -w 21 -N 4 -p 4,355.4,0
136,sudo lrzip -z -L 9 -w 21 -N 12 -p 1,811.52,0
137,sudo lrzip -z -L 9 -w 21 -N 12 -p 2,455.89,0
138,sudo lrzip -z -L 9 -w 21 -N 12 -p 3,390.44,0
139,sudo lrzip -z -L 9 -w 21 -N 12 -p 4,362.91,0
140,sudo lrzip -z -L 9 -w 41 -N -20 -p 1,809.1,0
141,sudo lrzip -z -L 9 -w 41 -N -20 -p 2,446.23,0
142,sudo lrzip -z -L 9 -w 41 -N -20 -p 3,373.9,0
143,sudo lrzip -z -L 9 -w 41 -N -20 -p 4,355.7,0
144,sudo lrzip -z -L 9 -w 41 -N -12 -p 1,811.71,0
145,sudo lrzip -z -L 9 -w 41 -N -12 -p 2,459.01,0
146,sudo lrzip -z -L 9 -w 41 -N -12 -p 3,374.84,0
147,sudo lrzip -z -L 9 -w 41 -N -12 -p 4,358.08,0
148,sudo lrzip -z -L 9 -w 41 -N -4 -p 1,810.59,0
149,sudo lrzip -z -L 9 -w 41 -N -4 -p 2,451.91,0
150,sudo lrzip -z -L 9 -w 41 -N -4 -p 3,382.76,0
151,sudo lrzip -z -L 9 -w 41 -N -4 -p 4,356.61,0
152,sudo lrzip -z -L 9 -w 41 -N 4 -p 1,809.56,0
153,sudo lrzip -z -L 9 -w 41 -N 4 -p 2,448.7,0
154,sudo lrzip -z -L 9 -w 41 -N 4 -p 3,375.64,0
155,sudo lrzip -z -L 9 -w 41 -N 4 -p 4,358.15,0
156,sudo lrzip -z -L 9 -w 41 -N 12 -p 1,806.7,0
157,sudo lrzip -z -L 9 -w 41 -N 12 -p 2,452.91,0
158,sudo lrzip -z -L 9 -w 41 -N 12 -p 3,376.74,0
159,sudo lrzip -z -L 9 -w 41 -N 12 -p 4,358.08,0
160,sudo lrzip -z -L 9 -w 61 -N -20 -p 1,810.21,0
161,sudo lrzip -z -L 9 -w 61 -N -20 -p 2,449.87,0
162,sudo lrzip -z -L 9 -w 61 -N -20 -p 3,386.32,0
163,sudo lrzip -z -L 9 -w 61 -N -20 -p 4,357.53,0
164,sudo lrzip -z -L 9 -w 61 -N -12 -p 1,806.67,0
165,sudo lrzip -z -L 9 -w 61 -N -12 -p 2,457.48,0
166,sudo lrzip -z -L 9 -w 61 -N -12 -p 3,380.13,0
167,sudo lrzip -z -L 9 -w 61 -N -12 -p 4,357.53,0
168,sudo lrzip -z -L 9 -w 61 -N -4 -p 1,809.2,0
169,sudo lrzip -z -L 9 -w 61 -N -4 -p 2,452.35,0
170,sudo lrzip -z -L 9 -w 61 -N -4 -p 3,377.83,0
171,sudo lrzip -z -L 9 -w 61 -N -4 -p 4,356.82,0
172,sudo lrzip -z -L 9 -w 61 -N 4 -p 1,815.81,0
173,sudo lrzip -z -L 9 -w 61 -N 4 -p 2,452.05,0
174,sudo lrzip -z -L 9 -w 61 -N 4 -p 3,384.43,0
175,sudo lrzip -z -L 9 -w 61 -N 4 -p 4,357.09,0
176,sudo lrzip -z -L 9 -w 61 -N 12 -p 1,807.73,0
