baseline,all data,no file history,no training history
0.8639,0.9202,0.9200,0.9200
0.8770,0.9959,0.9960,0.9950
0.8663,0.9974,0.9970,0.9970
0.9152,0.9967,0.9970,0.9970
0.9014,0.9974,0.9970,0.9980
0.9281,0.9917,0.9920,0.9920
0.8991,0.9975,0.9980,0.9980
0.9100,0.9964,0.9970,0.9970
0.9152,0.9973,0.9980,0.9970
0.9123,0.9975,0.9980,0.9980
0.8721,0.9984,0.9980,0.9990
0.8560,0.9962,0.9970,0.9970
0.9155,0.9963,0.9960,0.9970
0.8798,0.9985,0.9980,0.9970
0.8869,0.9978,0.9970,0.9970
0.9361,0.9933,0.9930,0.9950
0.8677,0.9968,0.9970,0.9950
0.8343,0.9962,0.9980,0.9980
0.8713,0.9976,0.9970,0.9970
0.8367,0.9963,0.9960,0.9960
0.9232,0.9956,0.9960,0.9970
0.8745,0.9980,0.9980,0.9980
0.9054,0.9976,0.9980,0.9980
0.8673,0.9969,0.9970,0.9970
0.8293,0.9970,0.9970,0.9960
0.8750,0.9982,0.9980,0.9970
0.7784,0.9960,0.9960,0.9960
0.7716,0.9974,0.9980,0.9960
0.7826,0.9979,0.9970,0.9940
0.9274,0.9979,0.9980,0.9950
0.7766,0.9955,0.9970,0.9950
0.8792,0.9985,0.9980,0.9970
0.8406,0.9958,0.9960,0.9960
0.9084,0.9947,0.9950,0.9940
0.8205,0.9976,0.9980,0.9980
0.8999,0.9951,0.9960,0.9910
0.7528,0.9880,0.9900,0.9880
0.8112,0.9956,0.9950,0.9950
0.8442,0.9947,0.9950,0.9940
0.9048,0.9964,0.9960,0.9960
0.7367,0.9962,0.9970,0.9970
0.8300,0.9974,0.9970,0.9990
0.7731,0.9952,0.9950,0.9960
0.7354,0.9973,0.9970,0.9980
0.8834,0.9941,0.9960,0.9950
0.8725,0.9968,0.9970,0.9970
0.8282,0.9971,0.9960,0.9970
0.8657,0.9973,0.9980,0.9980
0.8549,0.9937,0.9970,0.9970
0.9015,0.9813,0.9780,0.9850
