baseline,all history
0.9382,0.9478
0.9072,0.9856
0.9363,0.9909
0.9196,0.9916
0.9349,0.9952
0.9385,0.9958
0.9382,0.9957
0.9343,0.9962
0.9097,0.9964
0.9099,0.9959
0.9433,0.9926
0.9271,0.9917
0.9355,0.9936
0.9378,0.9976
0.948,0.9974
0.9416,0.996
0.9389,0.9952
0.9352,0.9967
0.9378,0.9956
0.9404,0.996
0.9285,0.996
0.9327,0.997
0.9114,0.9967
0.9319,0.9951
0.9376,0.9966
0.9378,0.9966
0.9416,0.9967
0.9356,0.9966
0.9208,0.9942
0.9404,0.9931
0.9344,0.9893
0.9318,0.9907
0.9057,0.9923
0.9405,0.9927
0.9327,0.9939
0.9375,0.9811
0.9426,0.987
0.9217,0.9894
0.9214,0.9833
0.9375,0.9875
0.9311,0.9942
0.93,0.9861
0.9039,0.9892
0.9297,0.9928
0.9383,0.9967
0.9364,0.994
0.9513,0.9943
0.9358,0.9925
